,Features
0,"{'danceability': 0.677, 'energy': 0.485, 'key': 5, 'loudness': -5.795, 'mode': 1, 'speechiness': 0.0361, 'acousticness': 0.529, 'instrumentalness': 2.04e-05, 'liveness': 0.0766, 'valence': 0.493, 'tempo': 82.001, 'type': 'audio_features', 'id': '7795WJLVKJoAyVoOtCWqXN', 'uri': 'spotify:track:7795WJLVKJoAyVoOtCWqXN', 'track_href': 'https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7795WJLVKJoAyVoOtCWqXN', 'duration_ms': 239317, 'time_signature': 4}"
1,"{'danceability': 0.333, 'energy': 0.877, 'key': 5, 'loudness': -1.894, 'mode': 0, 'speechiness': 0.0603, 'acousticness': 0.00332, 'instrumentalness': 0.00101, 'liveness': 0.769, 'valence': 0.285, 'tempo': 175.095, 'type': 'audio_features', 'id': '0lHSJ0ZP8uUPnJXhMdGjOK', 'uri': 'spotify:track:0lHSJ0ZP8uUPnJXhMdGjOK', 'track_href': 'https://api.spotify.com/v1/tracks/0lHSJ0ZP8uUPnJXhMdGjOK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0lHSJ0ZP8uUPnJXhMdGjOK', 'duration_ms': 188187, 'time_signature': 4}"
2,"{'danceability': 0.852, 'energy': 0.604, 'key': 0, 'loudness': -4.569, 'mode': 1, 'speechiness': 0.0642, 'acousticness': 0.0503, 'instrumentalness': 0, 'liveness': 0.327, 'valence': 0.667, 'tempo': 94.762, 'type': 'audio_features', 'id': '0OaunKfsxkgBvPv68jBbmm', 'uri': 'spotify:track:0OaunKfsxkgBvPv68jBbmm', 'track_href': 'https://api.spotify.com/v1/tracks/0OaunKfsxkgBvPv68jBbmm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0OaunKfsxkgBvPv68jBbmm', 'duration_ms': 227547, 'time_signature': 4}"
3,"{'danceability': 0.647, 'energy': 0.883, 'key': 4, 'loudness': -4.263, 'mode': 0, 'speechiness': 0.052, 'acousticness': 0.0401, 'instrumentalness': 1.45e-06, 'liveness': 0.117, 'valence': 0.587, 'tempo': 78.984, 'type': 'audio_features', 'id': '0Z7UP4q84AwVcKlliEAiO5', 'uri': 'spotify:track:0Z7UP4q84AwVcKlliEAiO5', 'track_href': 'https://api.spotify.com/v1/tracks/0Z7UP4q84AwVcKlliEAiO5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Z7UP4q84AwVcKlliEAiO5', 'duration_ms': 217427, 'time_signature': 4}"
4,"{'danceability': 0.302, 'energy': 0.265, 'key': 7, 'loudness': -12.203, 'mode': 1, 'speechiness': 0.0431, 'acousticness': 0.853, 'instrumentalness': 0.926, 'liveness': 0.0962, 'valence': 0.0742, 'tempo': 140.207, 'type': 'audio_features', 'id': '2zYrFer4QGSQkk5aUawfHB', 'uri': 'spotify:track:2zYrFer4QGSQkk5aUawfHB', 'track_href': 'https://api.spotify.com/v1/tracks/2zYrFer4QGSQkk5aUawfHB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2zYrFer4QGSQkk5aUawfHB', 'duration_ms': 121200, 'time_signature': 4}"
5,"{'danceability': 0.843, 'energy': 0.833, 'key': 0, 'loudness': -6.156, 'mode': 0, 'speechiness': 0.0341, 'acousticness': 0.329, 'instrumentalness': 0.0567, 'liveness': 0.126, 'valence': 0.972, 'tempo': 141.99, 'type': 'audio_features', 'id': '4hGOhC87bn7JBdYykOJJvJ', 'uri': 'spotify:track:4hGOhC87bn7JBdYykOJJvJ', 'track_href': 'https://api.spotify.com/v1/tracks/4hGOhC87bn7JBdYykOJJvJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4hGOhC87bn7JBdYykOJJvJ', 'duration_ms': 209027, 'time_signature': 4}"
6,"{'danceability': 0.217, 'energy': 0.973, 'key': 9, 'loudness': -4.106, 'mode': 1, 'speechiness': 0.157, 'acousticness': 0.00525, 'instrumentalness': 0, 'liveness': 0.304, 'valence': 0.347, 'tempo': 168.053, 'type': 'audio_features', 'id': '3ba7zW5WhAWlnw9rLR2e75', 'uri': 'spotify:track:3ba7zW5WhAWlnw9rLR2e75', 'track_href': 'https://api.spotify.com/v1/tracks/3ba7zW5WhAWlnw9rLR2e75', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ba7zW5WhAWlnw9rLR2e75', 'duration_ms': 133120, 'time_signature': 4}"
7,"{'danceability': 0.429, 'energy': 0.668, 'key': 4, 'loudness': -7.539, 'mode': 0, 'speechiness': 0.044, 'acousticness': 0.208, 'instrumentalness': 0, 'liveness': 0.538, 'valence': 0.398, 'tempo': 77.737, 'type': 'audio_features', 'id': '0WNGPpmWqzPnk0psUhJ3SX', 'uri': 'spotify:track:0WNGPpmWqzPnk0psUhJ3SX', 'track_href': 'https://api.spotify.com/v1/tracks/0WNGPpmWqzPnk0psUhJ3SX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WNGPpmWqzPnk0psUhJ3SX', 'duration_ms': 211067, 'time_signature': 4}"
8,"{'danceability': 0.644, 'energy': 0.919, 'key': 2, 'loudness': -6.289, 'mode': 1, 'speechiness': 0.0561, 'acousticness': 0.181, 'instrumentalness': 0.134, 'liveness': 0.622, 'valence': 0.871, 'tempo': 117.459, 'type': 'audio_features', 'id': '38Ngied9rBORlAbLYNCl4k', 'uri': 'spotify:track:38Ngied9rBORlAbLYNCl4k', 'track_href': 'https://api.spotify.com/v1/tracks/38Ngied9rBORlAbLYNCl4k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/38Ngied9rBORlAbLYNCl4k', 'duration_ms': 259907, 'time_signature': 4}"
9,"{'danceability': 0.482, 'energy': 0.488, 'key': 2, 'loudness': -9.926, 'mode': 1, 'speechiness': 0.0757, 'acousticness': 0.59, 'instrumentalness': 7.04e-05, 'liveness': 0.133, 'valence': 0.244, 'tempo': 175.966, 'type': 'audio_features', 'id': '0nCO9vRl56fUTKv3UjPcC5', 'uri': 'spotify:track:0nCO9vRl56fUTKv3UjPcC5', 'track_href': 'https://api.spotify.com/v1/tracks/0nCO9vRl56fUTKv3UjPcC5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0nCO9vRl56fUTKv3UjPcC5', 'duration_ms': 232973, 'time_signature': 4}"
